0,rashness
1,calculating
2,measured
3,foresighted
4,hesitant
5,leisurely
6,slow
7,dallying
8,deliberate
9,unhurried
10,courage
11,cold feet
12,faintheartedness
13,fearfulness
14,timidity
15,hesitation
16,indecisiveness
17,cowardice
18,cowardliness
19,spinelessness
20,cowardice
21,audacity
22,boldness
23,having a backbone
24,determination
25,perseverance
26,bravery
27,courage
28,courageousness
29,daring
30,fearlessness
31,guts
32,hardihood
33,nerve
34,stoutness
35,valiance
36,valor
37,licentious
38,modest
39,innocent
40,prudish
41,monastic
42,self-indulgence
43,selfless
44,humble
45,temperance
46,over-indulgence
47,temperance
48,self-denial
49,temperance
50,self-indulgence
51,hedonism
52,gluttony
53,insobriety
54,stinginess
55,extravagant with money
56,generosity
57,altruistic
58,lavish
59,overgenerous
60,philanthropic
61,unthrifty
62,kindly
63,magnanimous
64,compassionate
65,charitable
66,generous
67,cheap
68,selfish
69,stingy
70,tightfisted
71,uncharitable
72,prodigality
73,frugal
74,penny-pinching
75,miserly
76,judicious
77,prudent
78,conserving
79,thrifty
80,pettiness
81,consequential
82,nonpartisan
83,objective
84,unbiased
85,freethinking
86,meanness
87,civility
88,cordiality
89,friendliness
90,hospitality
91,veneration
92,charity
93,gentle
94,altruistic
95,selfless
96,righteous
97,ethical
98,honest
99,benevolent
100,benign
101,admirable
102,vulgarity
103,courtliness
104,elegance
105,grace
106,graciousness
107,consideration
108,sensitivity
109,thoughtfulness
110,decorum
111,purity
112,tasteless
113,classy
114,tasteful
115,appropriate
116,proper
117,decent
118,conceit
119,humbleness
120,humility
121,modesty
122,self-disgust
123,self-doubt
124,bashfulness
125,shyness
126,timidity
127,adventuresome
128,adventurous
129,audacious
130,bold
131,daring
132,dashing
133,having guts
134,venturesome
135,brave
136,courageous
137,fearless
138,confident
139,spirited
140,unflinching
141,determined
142,ambition
143,apathy
144,halfheartedness
145,indifference
146,sloth
147,laziness
148,prideful
149,undue humility
150,shy
151,cowering
152,apologetic
153,sheepish
154,down-to-earth
155,meek
156,modest
157,humble
158,egoless
159,defeated
160,dispirited
161,unambitious
162,driven
163,energetic
164,confident
165,ambitious
166,ill temper
167,patient
168,careless
169,passive
170,patient
171,bored
172,complaining
173,fed up
174,impatient
175,protesting
176,hesitant
177,faithless
178,fickle
179,good temper
180,irritable
181,volatile
182,moody
183,withdrawn
184,passive
185,false modesty
186,modest
187,boastful
188,show-off
189,braggart
190,truthful
191,dishonest
192,fibbing
193,lying
194,deceptive
195,devious
196,slippery
197,sly
198,fallacious
199,undependable
200,unreliable
201,untrustworthy
202,hypocritical
203,insincere
204,pretending
205,boastful
206,modest
207,accurate
208,aloof
209,buffoonery
210,boring
211,witty
212,dull
213,uninteresting
214,wittiness
215,brainless
216,lowbrow
217,stupid
218,witless
219,lame
220,humorless
221,facetious
222,flippant
223,humorous
224,joking
225,playful
226,boorishness
227,civil
228,courteous
229,polite
230,polished
231,classy
232,obsequious
233,domineering
234,demanding
235,tyrannical
236,friendly
237,distant
238,aggressive
239,aloof
240,standoffish
241,unfriendly
242,unsociable
243,withdrawn
244,faultfinding
245,hypercritical
246,belittling
247,unfriendly
248,advantageous
249,friendly
250,affable
251,agreeable
252,tolerant
253,understanding
254,harmless
255,helpful
256,hospitable
257,sympathetic
258,modesty
259,bold
260,dashing
261,forceful
262,flamboyant
263,indecency
264,arrogance
265,chest-thumping
266,self-centeredness
267,self-importance
268,vanity
269,shameless
270,shy
271,apologetic
272,ashamed
273,regretful
274,remorseful
275,ashamed
276,apologetic
277,mortified
278,fazed
279,malice
280,empathy
281,affection
282,kindness
283,charity
284,envy
285,benevolence
286,goodwill
287,kindness
288,sympathy
289,righteous indignation
290,malicious enjoyment
291,malicious
292,envious
293,spiteful
294,careless
295,apathetic
296,resentful
297,spiteful
298,compassionate
299,good-hearted
300,kind
301,benevolent
302,benign
303,altruistic
304,friendly
305,amiable
306,disagreeable
307,ill-tempered
308,ungracious
309,unpleasant
310,impolite
311,crabby
312,cranky
313,grouchy
314,grumpy
315,contentious
316,appreciative
317,derogatory
318,disapproving
319,unappreciative
320,inhospitable
321,rude
322,thoughtless
323,balanced
324,obsessed
325,ballistic
326,berserk
327,mixed-up
328,unreasonable
329,senseless
330,oddball
331,aberrant
332,loopy
333,crazy
334,demented
335,deranged
336,insane
337,lunatic
338,mad
339,maniacal
340,benevolent
341,merciless
342,pitiless
343,ruthless
344,insensitive
345,thoughtless
346,uncaring
347,malevolent
348,barbaric
349,fiendish
350,wanton
351,selfish
352,caring
353,forgetful
354,ignoring
355,neglectful
356,careless
357,decent
358,improper
359,indelicate
360,informal
361,perverted
362,offensive
363,crude
364,wretched
365,dedicated
366,irresponsible
367,hesitant
368,apathetic
369,disloyal
370,unfaithful
371,earnest
372,playful
373,frivolousness
374,shallowness
375,humorous
376,flippant
377,scatterbrained
378,hilarious
379,empathetic
380,callous
381,coldhearted
382,unfeeling
383,unsympathetic
384,stern
385,harsh
386,oppressive
387,brutal
388,grim
389,bigoted
390,small-minded
391,indifferent
392,faithful
393,undependable
394,traitorous
395,careless
396,corrupt
397,inauthentic
398,irresponsible
399,forgiving
400,avenging
401,revenging
402,punishing
403,resentful
404,unforgiving
405,unforgiving
406,forgiving
407,lax
408,tolerant
409,pushover
410,forgetful
411,forthright
412,long-winded
413,wordy
414,deceitful
415,untruthful
416,misleading
417,two-faced
418,heroic
419,skittish
420,timid
421,anxious
422,wimpy
423,gutless
424,mediocre
425,second-rate
426,helpful
427,ineffectual
428,unhelpful
429,useless
430,harmful
431,weak
432,clueless
433,honest
